#Gc logAge [M/H] m_ini   logL   logTe logg  m-M0   Av    m2/m1 mbol   F070W  F090W  F115W  F150W  F200W  F277W  F356W  F444W  F150W2 F322W2 F140M  F162M  F182M  F210M  F250M  F300M  F335M  F360M  F410M  F430M  F460M  F480M    Mact
 1   9.33 -0.15  0.30323 -1.862 3.570  5.007  9.10  0.040 0.00 18.525 18.471 17.529 16.947 16.393 16.102 16.095 15.813 15.737 16.467 15.960 16.546 16.173 16.143 16.049 16.128 16.078 15.888 15.762 15.685 15.713 15.797 15.787  0.303 
 1   9.33  0.05  0.05830 -4.494 3.159  5.281  8.60  0.039 0.00 24.605 32.093 28.584 25.963 23.606 21.741 20.738 19.601 19.382 22.828 20.086 24.245 22.949 22.266 21.368 20.986 20.435 19.818 19.483 19.307 19.404 19.468 19.394  0.058 
 1   9.35 -0.31  0.78953 -0.496 3.712  4.625 10.20  0.040 0.00 16.210 15.753 15.376 15.036 14.560 14.378 14.351 14.334 14.361 14.667 14.344 14.667 14.419 14.383 14.370 14.374 14.340 14.336 14.333 14.329 14.347 14.400 14.389  0.790 
 1   9.35  0.03  0.30133 -1.891 3.559  4.992  8.90  0.039 0.00 18.397 18.449 17.402 16.793 16.239 15.931 15.915 15.622 15.550 16.307 15.775 16.387 16.021 15.974 15.875 15.953 15.895 15.695 15.572 15.494 15.521 15.611 15.602  0.301 
 1   9.35  0.05  1.23580  0.426 3.800  4.249 10.40  0.040 0.00 14.104 13.675 13.454 13.255 12.972 12.891 12.872 12.871 12.875 13.053 12.871 13.025 12.905 12.896 12.885 12.877 12.872 12.872 12.871 12.868 12.871 12.879 12.879  1.236 
 1   9.35  0.07  0.11614 -2.885 3.467  5.203  9.50  0.040 0.00 21.483 22.317 20.558 19.684 19.214 18.913 18.844 18.288 18.184 19.238 18.561 19.435 18.893 19.013 18.789 18.878 18.792 18.415 18.204 18.105 18.155 18.278 18.249  0.116 
 1   9.35  0.17  0.12716 -2.800 3.472  5.176  3.90  0.014 0.00 15.669 16.425 14.723 13.874 13.402 13.102 13.028 12.496 12.390 13.429 12.759 13.613 13.092 13.197 12.985 13.062 12.980 12.619 12.415 12.315 12.361 12.479 12.452  0.127 
 1   9.35  0.23  0.04500 -4.760 3.084  5.133  8.70  0.039 0.00 25.369 36.056 31.685 28.382 25.434 22.999 21.579 20.247 19.827 24.150 20.780 26.240 24.669 23.698 22.555 21.958 21.164 20.698 20.098 19.756 19.955 19.882 19.828  0.045 
 1   9.37 -0.39  0.10469 -2.972 3.473  5.266  4.70  0.019 0.99 16.176 16.874 15.241 14.408 13.882 13.607 13.535 12.998 12.903 13.937 13.263 14.095 13.583 13.698 13.488 13.583 13.468 13.113 12.918 12.829 12.877 13.004 12.957  0.105 
 1   9.37 -0.27  0.06779 -4.140 3.246  5.339  8.90  0.039 0.00 24.021 28.179 25.124 23.004 21.799 20.927 20.383 19.501 19.347 21.648 19.902 22.438 21.150 21.249 20.636 20.545 20.192 19.669 19.399 19.283 19.357 19.423 19.362  0.068 
 1   9.37 -0.13  0.04686 -4.771 3.082  5.137  8.00  0.038 0.96 23.946 34.667 30.285 26.974 24.019 21.580 20.158 18.827 18.398 22.732 19.359 24.828 23.253 22.281 21.134 20.541 19.739 19.290 18.678 18.327 18.527 18.453 18.398  0.045 
 1   9.37  0.03  0.04949 -4.772 3.087  5.199  8.90  0.039 0.00 25.601 36.111 31.784 28.518 25.601 23.197 21.807 20.487 20.063 24.348 21.017 26.399 24.843 23.889 22.755 22.183 21.392 20.941 20.341 19.991 20.174 20.128 20.063  0.049 
 1   9.37  0.27  1.19365  0.304 3.784  4.292 11.10  0.040 0.00 15.110 14.638 14.396 14.177 13.871 13.777 13.758 13.755 13.768 13.955 13.757 13.929 13.795 13.783 13.770 13.768 13.755 13.755 13.755 13.753 13.761 13.785 13.781  1.194 
 1   9.37  0.43  0.56507 -1.236 3.604  4.789 13.30  0.040 0.00 21.161 21.054 20.212 19.652 18.989 18.689 18.726 18.569 18.582 19.096 18.654 19.167 18.752 18.706 18.661 18.762 18.713 18.604 18.539 18.514 18.558 18.669 18.645  0.565 
 1   9.39 -0.33  0.23491 -2.046 3.567  5.069 11.00  0.040 0.94 20.201 20.132 19.217 18.633 18.079 17.783 17.751 17.472 17.392 18.152 17.618 18.228 17.864 17.827 17.728 17.787 17.730 17.546 17.421 17.345 17.370 17.448 17.432  0.235 
 1   9.39 -0.15  0.09542 -3.152 3.442  5.282  8.00  0.038 0.00 20.650 21.810 19.782 18.800 18.343 18.056 18.011 17.336 17.241 18.361 17.659 18.620 17.968 18.182 17.900 18.053 17.934 17.480 17.239 17.145 17.217 17.359 17.319  0.095 
 1   9.39 -0.11  0.06214 -4.414 3.181  5.314 10.10  0.040 0.00 25.905 32.563 29.274 26.810 24.612 22.936 22.047 20.984 20.796 23.988 21.446 25.231 23.966 23.409 22.586 22.263 21.783 21.165 20.879 20.726 20.796 20.887 20.803  0.062 
 1   9.39  0.01  0.01924 -4.502 3.081  4.374  9.10  0.040 0.76 24.854 36.229 31.799 28.424 25.398 22.826 21.055 19.730 19.247 23.966 20.263 26.218 24.621 23.545 22.382 21.489 20.655 20.063 19.593 19.259 19.415 19.174 19.145  0.015 
 1   9.39  0.13  0.06702 -4.191 3.234  5.337  8.60  0.039 0.87 23.466 28.396 25.325 23.119 21.629 20.452 19.716 18.710 18.513 21.317 19.153 22.267 20.977 20.846 20.131 19.919 19.470 18.911 18.599 18.443 18.531 18.594 18.526  0.067 
 1   9.39  0.25  0.05265 -4.722 3.102  5.236  9.20  0.040 0.00 25.775 35.679 31.522 28.388 25.585 23.277 21.961 20.658 20.289 24.416 21.186 26.345 24.848 23.938 22.848 22.304 21.569 21.045 20.523 20.211 20.362 20.374 20.291  0.053 
 1   9.41 -0.21  0.10338 -3.006 3.463  5.256  9.70  0.040 0.00 21.986 22.835 21.071 20.191 19.696 19.412 19.348 18.772 18.674 19.735 19.053 19.925 19.374 19.514 19.284 19.390 19.282 18.897 18.686 18.593 18.647 18.777 18.737  0.103 
 1   9.41 -0.17  0.06935 -4.099 3.256  5.350  9.60  0.040 0.00 24.617 28.571 25.507 23.431 22.350 21.566 21.056 20.179 20.031 22.233 20.579 22.994 21.698 21.875 21.279 21.214 20.870 20.349 20.076 19.965 20.042 20.109 20.048  0.069 
 1   9.41  0.13  0.82399 -0.548 3.686  4.593 13.10  0.040 0.00 19.240 18.789 18.365 17.975 17.439 17.222 17.205 17.175 17.218 17.550 17.192 17.563 17.276 17.228 17.212 17.244 17.182 17.177 17.174 17.170 17.197 17.283 17.264  0.824 
