#Gc logAge [M/H] m_ini   logL   logTe logg  m-M0   Av    m2/m1 mbol   F560W  F770W  F1000W F1130W F1280W F1500W F1800W F2100W F2550W   Mact
 1   9.23 -0.03  0.13838 -2.679 3.490  5.164  9.10  0.039 0.00 20.568 17.403 17.387 17.232 17.231 17.197 17.182 17.104 17.112 16.598  0.138 
 1   9.23  0.07  0.07453 -3.760 3.328  5.330  5.80  0.026 0.00 19.969 15.952 15.806 15.537 15.464 15.471 15.389 15.296 15.331 14.821  0.075 
 1   9.25 -0.25  0.01470 -4.497 3.082  4.370  8.20  0.038 0.99 23.483 17.714 17.543 17.724 17.495 17.295 17.247 17.282 17.258 17.134  0.014 
 1   9.25 -0.17  0.05969 -4.380 3.186  5.284 13.40  0.040 0.00 29.120 23.967 23.809 23.817 23.628 23.501 23.471 23.489 23.394 22.812  0.060 
 1   9.25 -0.13  0.25342 -2.014 3.560  5.040 10.40  0.040 0.96 19.491 16.656 16.654 16.579 16.582 16.555 16.538 16.496 16.471 16.114  0.253 
 1   9.25 -0.11  0.01979 -5.114 2.960  4.634  6.50  0.031 0.00 24.056 17.959 17.951 17.859 17.507 17.229 17.145 17.189 17.101 16.814  0.020 
 1   9.25  0.05  0.06214 -4.286 3.209  5.299  7.30  0.035 0.00 22.786 17.776 17.614 17.572 17.401 17.311 17.266 17.268 17.190 16.615  0.062 
 1   9.25  0.05  0.14268 -2.651 3.490  5.149  9.70  0.040 0.00 21.097 17.932 17.917 17.761 17.759 17.728 17.715 17.632 17.641 17.098  0.143 
 1   9.25  0.15  0.02095 -5.093 2.964  4.626  9.20  0.040 0.94 26.004 19.911 19.902 19.809 19.457 19.181 19.098 19.141 19.045 18.736  0.020 
 1   9.25  0.29  0.22103 -2.178 3.535  5.046  7.50  0.036 0.00 17.715 14.757 14.755 14.657 14.662 14.632 14.620 14.557 14.533 13.956  0.221 
 1   9.27 -0.31  0.34812 -1.722 3.586  4.993  8.50  0.039 0.00 17.574 14.929 14.937 14.868 14.856 14.840 14.819 14.792 14.775 14.709  0.348 
