# RA DEC F1500W_MAG_KRON F1500W_MAG_CIRC3 F1500W_MAG_CIRC4 F1500W_MAG_CIRC5 F2100W_MAG_KRON F2100W_MAG_CIRC3 F2100W_MAG_CIRC4 F2100W_MAG_CIRC5
53.14019 -27.86847 16.23158 16.57539 16.53900 16.47699 13.17454 13.39752 13.38771 13.35294
53.12254 -27.86842 17.80935 18.14750 18.19340 18.18604 14.94770 15.13519 15.13316 15.11700
53.15091 -27.86838 13.01776 14.00720 13.95149 13.85872 12.17807 12.90937 12.89628 12.84917
53.11084 -27.86834 19.41238 19.24082 19.22443 19.05968   nan   nan   nan 21.67267
53.13213 -27.86830 16.42827 16.56374 16.56666 16.52765 15.51828 15.58253 15.55472 15.52253
53.12051 -27.86835 19.33603 19.51240 19.52077 19.40471 18.63592 18.19568 18.53762 18.77247
53.13803 -27.86829 16.94483 17.06188 17.04864 17.01316 16.44919 16.44402 16.49335 16.46970
53.10690 -27.86799 18.81308 18.65782 18.61819 18.63024 18.96478 18.51590 18.33656 17.85274
53.11367 -27.86786 16.44750 16.68069 16.62461 16.56090 15.77467 16.28153 16.31738 16.18382
53.15138 -27.86777 19.37455 20.24636 19.19690 18.81193 17.28684 17.29570 17.05415 16.97233
53.13764 -27.86760 18.85042 18.72927 18.74740 18.82395 17.82246 23.37304 18.20674 17.77332
53.12792 -27.86757 15.92453 16.53636 16.47188 16.37619 15.28293 15.51789 15.44251 15.40692
53.10617 -27.86753 17.40504 17.41245 17.40495 17.35467 15.92962 15.82971 15.90855 15.95163
53.13506 -27.86754 20.34521 20.07399 19.60748 19.44720 17.20434 17.08365 17.20189 17.38680
53.11707 -27.86738 15.58160 16.30209 16.28345 16.22024 15.41983 16.17192 16.17932 16.04225
53.13139 -27.86732 18.51913 18.49722 18.52097 18.45232 16.99704 16.97874 17.03393 17.12654
53.11336 -27.86726 19.03376 19.22384 19.11613 18.96299 16.83500 16.82966 17.61268 18.24071
53.15347 -27.86702 19.59184 19.49079 19.28908 18.96485 17.37206 17.36498 17.35224 17.06974
53.09529 -27.86675 18.89146 19.34063 19.04021 18.71721 16.63584 16.77537 16.67214 16.74819
53.12333 -27.86637 15.52802 15.69164 15.68423 15.64461 13.93283 13.94391 13.95803 13.94747
53.12038 -27.86635 18.07003 18.09982 18.09592 18.03890   nan 17.31282 17.99820 18.55628
53.12477 -27.86630 17.68104 17.75146 17.80327 17.80872 17.32511 17.35693 17.44569 17.45601
