SMILES_ID RA Dec FWHM_F560W FWHM_F1500W FWHM_F2100W F1500W F2100W F1500W-F2100W
204.0 53.12556 -27.85884 1.4984844879548176 1.708822504380415 1.8528488180837281 14.87552 13.52596 1.3495600000000003
205.0 53.11374 -27.85887 1.7105921932238735 1.7778257824585557 1.8907133466443187 16.65835 15.59896 1.0593899999999987
210.0 53.09764 -27.85854 0.4226244153409964 0.8396508977407235 0.258178462784667 17.12665 16.80444 0.3222100000000019
212.0 53.12219 -27.85833 0.6340596542684601 0.9424045234485178 1.138205540527369 17.02743 15.82637 1.2010599999999982
214.0 53.07798 -27.85824 1.0639965291415296 1.56109545067621 1.7146707769138279 13.01518 11.66267 1.3525100000000005
215.0 53.08548 -27.85817 0.8613005572541874 1.2042645726726169 1.3074126996769797 15.89813 15.27756 0.6205700000000007
221.0 53.08923 -27.85735 0.5575259074933941 0.9672401688788277 1.3581217762767261 15.90673 13.13997 2.7667599999999997
222.0 53.076 -27.85724 1.715164344416996 1.9568015604470277 2.3497006093018253 16.24168 13.25596 2.985719999999999
226.0 53.07831 -27.85696 1.6746249974877438 1.9947201622356394 2.1090619049857002 14.26735 12.9564 1.31095
229.0 53.09521 -27.85686 1.5145174863365216 2.1159447320307367 2.2873030428728622 13.17596 12.92151 0.2544500000000003
233.0 53.13786 -27.85669 0.9529405169772044 1.3666070290913628 1.7608116146413502 13.72107 12.69208 1.0289899999999985
236.0 53.08325 -27.85618 1.327692345344993 0.9861222080956362 1.5663916950095838 15.14359 13.39147 1.7521199999999997
238.0 53.11682 -27.85606 0.8213403481710889 1.243563131833419 0.24829816858352008 17.95295 19.10478 -1.1518300000000004
240.0 53.13727 -27.85575 1.0038429402025153 1.292475792446054 1.0227150820726172 17.53848 16.28241 1.2560700000000011
243.0 53.11275 -27.85551 1.024914412904927 1.3989180673228059 1.6390899114054018 16.15386 15.1755 0.9783600000000021
244.0 53.10315 -27.85549 1.2799999847267722 1.7659155664577897 0.5829521593640138 17.45403 16.19702 1.257010000000001
249.0 53.14989 -27.85515 1.9274781215775458 2.314048742767425 2.397584684960105 12.41921 11.91678 0.5024300000000004
250.0 53.0942 -27.85505 0.7228219948720956 0.7873045360814298 0.20106670028234008 19.39753 18.79841 0.5991199999999992
252.0 53.0758 -27.85482 0.6040177566645328 1.0400400899526383 0.20146988383382944 18.37532 16.64268 1.73264
255.0 53.1144 -27.85465 0.618087706961287 1.0474487631661002 1.1129278798854296 18.82661 19.17799 -0.35138000000000247
256.0 53.11759 -27.85459 0.5749830533138078 0.99179326728149 1.333395737307724 15.19487 12.78495 2.4099199999999996
257.0 53.11417 -27.85454 0.6180877084059292 1.0475019353281132 1.1126140292312552 16.41619 16.11021 0.3059800000000017
260.0 53.09863 -27.85406 1.020503812888223 1.3877852437315392 1.702227770503827 16.74014 13.62707 3.1130700000000004
262.0 53.09467 -27.85388 0.903276733536226 1.298223529318807 1.5886398244069566 18.60777 17.51057 1.0971999999999973
263.0 53.07206 -27.8537 1.0620197620715368 1.6151225889966305 1.78458899771175 13.1538 12.70953 0.4442699999999995
265.0 53.09434 -27.85356 0.8976650552540286 1.3151223070108966 1.4254319028640536 15.10165 14.95431 0.1473399999999998
269.0 53.13785 -27.8532 1.6115759318142209 1.4232824832364432 1.7582754091256179 15.91379 15.42521 0.4885800000000007
271.0 53.10919 -27.85298 1.1411042926144568 1.6481572162099585 1.8685173909756367 12.24642 10.96075 1.2856699999999996
275.0 53.12259 -27.85279 0.7624549120695077 1.0853915988617147 1.3972203107637047 13.09337 12.12199 0.9713799999999999
276.0 53.13383 -27.85264 0.6537432402983839 0.9171237521808668 1.248657888755921 16.04063 13.73717 2.3034599999999994
277.0 53.12787 -27.8526 0.4866574824271612 0.8872687659068451 0.5291540461530174 16.71775 16.47562 0.2421299999999995
280.0 53.1065 -27.85233 0.9104611734611294 0.991079193702287 1.4118861365453725 17.70111 16.18065 1.52046
286.0 53.08871 -27.85194 0.725059369249892 1.110307427599247 1.4177704006541025 14.65246 13.92636 0.7260999999999989
288.0 53.09658 -27.8518 0.7510980128707838 1.189599217243264 1.4901317499996183 16.05233 12.92804 3.124290000000002
289.0 53.1244 -27.85169 0.5557689166975405 0.950146311122618 1.2576833266831342 13.86894 12.67252 1.1964199999999998
291.0 53.13392 -27.8516 1.3861467229335518 1.6609571738695426 1.9099670729728118 13.45553 12.2828 1.1727299999999996
292.0 53.14692 -27.8514 0.6119106180053184 0.9410781560925875 1.3278897203265878 14.98341 13.8647 1.11871
294.0 53.09557 -27.85134 1.027476219781272 1.3622248176690035 1.5824464563878786 14.04059 13.85359 0.1869999999999994
301.0 53.08814 -27.85071 1.0986037360061531 1.5791022878824357 2.0042758409918138 13.55362 12.80272 0.7508999999999997
